Episode_Return,env_step,Episode_Return_smooth
25.0,25,25.0
20.0,45,22.5
42.0,87,29.0
18.0,105,26.25
20.0,125,25.0
16.0,141,23.5
19.0,160,22.857142857142858
39.0,199,24.875
11.0,210,23.333333333333332
15.0,225,22.5
38.0,263,23.8
18.0,281,23.6
29.0,310,22.3
22.0,332,22.7
39.0,371,24.6
8.0,379,23.8
12.0,391,23.1
49.0,440,24.1
15.0,455,24.5
67.0,522,29.7
39.0,561,29.8
37.0,598,31.7
14.0,612,30.2
28.0,640,30.8
13.0,653,28.2
17.0,670,29.1
12.0,682,29.1
86.0,768,32.8
46.0,814,35.9
16.0,830,30.8
47.0,877,31.6
23.0,900,30.2
23.0,923,31.1
22.0,945,30.5
10.0,955,30.2
13.0,968,29.8
23.0,991,30.9
19.0,1010,24.2
14.0,1024,21.0
16.0,1040,21.0
19.0,1059,18.2
57.0,1116,21.6
10.0,1126,20.3
21.0,1147,20.2
59.0,1206,25.1
24.0,1230,26.2
22.0,1252,26.1
14.0,1266,25.6
25.0,1291,26.7
15.0,1306,26.6
12.0,1318,25.9
17.0,1335,21.9
19.0,1354,22.8
10.0,1364,21.7
12.0,1376,17.0
17.0,1393,16.3
25.0,1418,16.6
11.0,1429,16.3
18.0,1447,15.6
19.0,1466,16.0
14.0,1480,16.2
12.0,1492,15.7
21.0,1513,15.9
18.0,1531,16.7
12.0,1543,16.7
14.0,1557,16.4
16.0,1573,15.5
12.0,1585,15.6
8.0,1593,14.6
17.0,1610,14.4
14.0,1624,14.4
27.0,1651,15.9
29.0,1680,16.7
43.0,1723,19.2
25.0,1748,20.5
23.0,1771,21.4
9.0,1780,20.7
24.0,1804,21.9
14.0,1818,22.5
10.0,1828,21.8
10.0,1838,21.4
20.0,1858,20.7
27.0,1885,20.5
23.0,1908,18.5
20.0,1928,18.0
23.0,1951,18.0
13.0,1964,18.4
21.0,1985,18.1
52.0,2037,21.9
13.0,2050,22.2
11.0,2061,22.3
12.0,2073,21.5
22.0,2095,21.0
30.0,2125,21.7
152.0,2277,34.9
16.0,2293,34.2
60.0,2353,38.9
24.0,2377,39.2
38.0,2415,37.8
24.0,2439,38.9
16.0,2455,39.4
9.0,2464,39.1
13.0,2477,38.2
21.0,2498,37.3
38.0,2536,25.9
10.0,2546,25.3
13.0,2559,20.6
13.0,2572,19.5
15.0,2587,17.2
14.0,2601,16.2
12.0,2613,15.8
16.0,2629,16.5
11.0,2640,16.3
16.0,2656,15.8
20.0,2676,14.0
21.0,2697,15.1
12.0,2709,15.0
11.0,2720,14.8
16.0,2736,14.9
11.0,2747,14.6
22.0,2769,15.6
54.0,2823,19.4
15.0,2838,19.8
64.0,2902,24.6
82.0,2984,30.8
85.0,3069,37.2
51.0,3120,41.1
72.0,3192,47.2
16.0,3208,47.2
15.0,3223,47.6
33.0,3256,48.7
32.0,3288,46.5
21.0,3309,47.1
16.0,3325,42.3
23.0,3348,36.4
70.0,3418,34.9
12.0,3430,31.0
30.0,3460,26.8
19.0,3479,27.1
16.0,3495,27.2
13.0,3508,25.2
12.0,3520,23.2
33.0,3553,24.4
14.0,3567,24.2
78.0,3645,29.7
14.0,3659,24.1
30.0,3689,25.9
57.0,3746,28.6
21.0,3767,28.8
22.0,3789,29.4
16.0,3805,29.7
88.0,3893,37.3
36.0,3929,37.6
18.0,3947,38.0
31.0,3978,33.3
12.0,3990,33.1
91.0,4081,39.2
33.0,4114,36.8
41.0,4155,38.8
117.0,4272,48.3
58.0,4330,52.5
24.0,4354,46.1
17.0,4371,44.2
21.0,4392,44.5
109.0,4501,52.3
32.0,4533,54.3
24.0,4557,47.6
22.0,4579,46.5
16.0,4595,44.0
15.0,4610,33.8
26.0,4636,30.6
53.0,4689,33.5
26.0,4715,34.4
71.0,4786,39.4
29.0,4815,31.4
18.0,4833,30.0
18.0,4851,29.4
66.0,4917,33.8
60.0,4977,38.2
60.0,5037,42.7
20.0,5057,42.1
