Episode_Return,env_step,Episode_Return_smooth
40.0,40,40.0
22.0,62,31.0
26.0,88,29.333333333333332
29.0,117,29.25
23.0,140,28.0
25.0,165,27.5
33.0,198,28.285714285714285
26.0,224,28.0
13.0,237,26.333333333333332
32.0,269,26.9
14.0,283,24.3
14.0,297,23.5
15.0,312,22.4
18.0,330,21.3
12.0,342,20.2
43.0,385,22.0
20.0,405,20.7
13.0,418,19.4
16.0,434,19.7
44.0,478,20.9
21.0,499,21.6
34.0,533,23.6
18.0,551,23.9
16.0,567,23.7
27.0,594,25.2
56.0,650,26.5
10.0,660,25.5
12.0,672,25.4
22.0,694,26.0
18.0,712,23.4
24.0,736,23.7
19.0,755,22.2
50.0,805,25.4
16.0,821,25.4
16.0,837,24.3
25.0,862,21.2
10.0,872,21.2
13.0,885,21.3
13.0,898,20.4
15.0,913,20.1
14.0,927,19.1
12.0,939,18.4
21.0,960,15.5
11.0,971,15.0
32.0,1003,16.6
11.0,1014,15.2
30.0,1044,17.2
9.0,1053,16.8
28.0,1081,18.3
16.0,1097,18.4
10.0,1107,18.0
12.0,1119,18.0
13.0,1132,17.2
22.0,1154,18.3
13.0,1167,16.4
9.0,1176,16.2
18.0,1194,15.0
13.0,1207,15.4
19.0,1226,14.5
13.0,1239,14.2
41.0,1280,17.3
14.0,1294,17.5
9.0,1303,17.1
15.0,1318,16.4
14.0,1332,16.5
12.0,1344,16.8
12.0,1356,16.2
17.0,1373,16.6
17.0,1390,16.4
16.0,1406,16.7
9.0,1415,13.5
10.0,1425,13.1
50.0,1475,17.2
21.0,1496,17.8
11.0,1507,17.5
25.0,1532,18.8
12.0,1544,18.8
24.0,1568,19.5
19.0,1587,19.7
15.0,1602,19.6
20.0,1622,20.7
9.0,1631,20.6
8.0,1639,16.4
23.0,1662,16.6
21.0,1683,17.6
26.0,1709,17.7
15.0,1724,18.0
14.0,1738,17.0
14.0,1752,16.5
12.0,1764,16.2
20.0,1784,16.2
13.0,1797,16.6
28.0,1825,18.6
12.0,1837,17.5
12.0,1849,16.6
17.0,1866,15.7
11.0,1877,15.3
15.0,1892,15.4
39.0,1931,17.9
13.0,1944,18.0
38.0,1982,19.8
31.0,2013,21.6
20.0,2033,20.8
13.0,2046,20.9
13.0,2059,21.0
15.0,2074,20.8
21.0,2095,21.8
53.0,2148,25.6
21.0,2169,23.8
22.0,2191,24.7
25.0,2216,23.4
14.0,2230,21.7
25.0,2255,22.2
16.0,2271,22.5
24.0,2295,23.6
29.0,2324,25.0
36.0,2360,26.5
14.0,2374,22.6
26.0,2400,23.1
14.0,2414,22.3
16.0,2430,21.4
30.0,2460,23.0
81.0,2541,28.6
29.0,2570,29.9
15.0,2585,29.0
10.0,2595,27.1
10.0,2605,24.5
9.0,2614,24.0
25.0,2639,23.9
17.0,2656,24.2
21.0,2677,24.7
20.0,2697,23.7
27.0,2724,18.3
28.0,2752,18.2
13.0,2765,18.0
11.0,2776,18.1
24.0,2800,19.5
13.0,2813,19.9
14.0,2827,18.8
40.0,2867,21.1
21.0,2888,21.1
26.0,2914,21.7
79.0,2993,26.9
25.0,3018,26.6
17.0,3035,27.0
16.0,3051,27.5
8.0,3059,25.9
18.0,3077,26.4
22.0,3099,27.2
28.0,3127,26.0
26.0,3153,26.5
89.0,3242,32.8
18.0,3260,26.7
9.0,3269,25.1
17.0,3286,25.1
41.0,3327,27.6
