Episode_Return,env_step,Episode_Return_smooth
12.0,12,12.0
14.0,26,13.0
26.0,52,17.333333333333332
13.0,65,16.25
20.0,85,17.0
15.0,100,16.666666666666668
26.0,126,18.0
23.0,149,18.625
9.0,158,17.555555555555557
72.0,230,23.0
42.0,272,26.0
13.0,285,25.9
27.0,312,26.0
18.0,330,26.5
18.0,348,26.3
15.0,363,26.3
11.0,374,24.8
22.0,396,24.7
18.0,414,25.6
41.0,455,22.5
45.0,500,22.8
19.0,519,23.4
56.0,575,26.3
11.0,586,25.6
15.0,601,25.3
13.0,614,25.1
21.0,635,26.1
15.0,650,25.4
11.0,661,24.7
21.0,682,22.7
47.0,729,22.9
38.0,767,24.8
12.0,779,20.4
21.0,800,21.4
31.0,831,23.0
14.0,845,23.1
16.0,861,22.6
31.0,892,24.2
13.0,905,24.4
15.0,920,23.8
12.0,932,20.3
12.0,944,17.7
16.0,960,18.1
44.0,1004,20.4
12.0,1016,18.5
35.0,1051,20.6
14.0,1065,20.4
28.0,1093,20.1
9.0,1102,19.7
28.0,1130,21.0
23.0,1153,22.1
23.0,1176,23.2
11.0,1187,22.7
15.0,1202,19.8
15.0,1217,20.1
16.0,1233,18.2
29.0,1262,19.7
26.0,1288,19.5
17.0,1305,20.3
9.0,1314,18.4
10.0,1324,17.1
33.0,1357,18.1
19.0,1376,18.9
15.0,1391,18.9
15.0,1406,18.9
9.0,1415,18.2
12.0,1427,16.5
9.0,1436,14.8
11.0,1447,14.2
13.0,1460,14.6
21.0,1481,15.7
31.0,1512,15.5
14.0,1526,15.0
13.0,1539,14.8
11.0,1550,14.4
9.0,1559,14.4
30.0,1589,16.2
11.0,1600,16.4
15.0,1615,16.8
15.0,1630,17.0
16.0,1646,16.5
30.0,1676,16.4
25.0,1701,17.5
44.0,1745,20.6
26.0,1771,22.1
44.0,1815,25.6
15.0,1830,24.1
12.0,1842,24.2
35.0,1877,26.2
16.0,1893,26.3
15.0,1908,26.2
16.0,1924,24.8
11.0,1935,23.4
11.0,1946,20.1
33.0,1979,20.8
14.0,1993,17.8
40.0,2033,20.3
22.0,2055,21.3
11.0,2066,18.9
18.0,2084,19.1
13.0,2097,18.9
10.0,2107,18.3
14.0,2121,18.6
22.0,2143,19.7
11.0,2154,17.5
12.0,2166,17.3
15.0,2181,14.8
13.0,2194,13.9
19.0,2213,14.7
14.0,2227,14.3
83.0,2310,21.3
73.0,2383,27.6
13.0,2396,27.5
24.0,2420,27.7
40.0,2460,30.6
20.0,2480,31.4
23.0,2503,32.2
13.0,2516,32.2
20.0,2536,32.3
16.0,2552,32.5
12.0,2564,25.4
56.0,2620,23.7
21.0,2641,24.5
21.0,2662,24.2
40.0,2702,24.2
49.0,2751,27.1
38.0,2789,28.6
81.0,2870,35.4
17.0,2887,35.1
10.0,2897,34.5
10.0,2907,34.3
