Episode_Return,env_step,Episode_Return_smooth
18.0,18,18.0
20.0,38,19.0
25.0,63,21.0
14.0,77,19.25
17.0,94,18.8
15.0,109,18.166666666666668
29.0,138,19.714285714285715
16.0,154,19.25
25.0,179,19.88888888888889
50.0,229,22.9
12.0,241,22.3
13.0,254,21.6
18.0,272,20.9
17.0,289,21.2
16.0,305,21.1
24.0,329,22.0
18.0,347,20.9
10.0,357,20.3
16.0,373,19.4
20.0,393,16.4
16.0,409,16.8
20.0,429,17.5
47.0,476,20.4
17.0,493,20.4
25.0,518,21.3
23.0,541,21.2
28.0,569,22.2
20.0,589,23.2
34.0,623,25.0
13.0,636,24.3
15.0,651,24.2
20.0,671,24.2
12.0,683,20.7
12.0,695,20.2
16.0,711,19.3
53.0,764,22.3
16.0,780,21.1
16.0,796,20.7
11.0,807,18.4
13.0,820,18.4
10.0,830,17.9
13.0,843,17.2
18.0,861,17.8
22.0,883,18.8
18.0,901,19.0
22.0,923,15.9
12.0,935,15.5
9.0,944,14.8
13.0,957,15.0
10.0,967,14.7
10.0,977,14.7
24.0,1001,15.8
29.0,1030,16.9
15.0,1045,16.2
11.0,1056,15.5
12.0,1068,14.5
10.0,1078,14.3
17.0,1095,15.1
13.0,1108,15.1
10.0,1118,15.1
11.0,1129,15.2
12.0,1141,14.0
19.0,1160,13.0
26.0,1186,14.1
21.0,1207,15.1
19.0,1226,15.8
18.0,1244,16.6
19.0,1263,16.8
10.0,1273,16.5
18.0,1291,17.3
26.0,1317,18.8
18.0,1335,19.4
14.0,1349,18.9
12.0,1361,17.5
11.0,1372,16.5
10.0,1382,15.6
9.0,1391,14.7
9.0,1400,13.7
22.0,1422,14.9
11.0,1433,14.2
13.0,1446,12.9
20.0,1466,13.1
9.0,1475,12.6
12.0,1487,12.6
17.0,1504,13.2
21.0,1525,14.3
11.0,1536,14.5
12.0,1548,14.8
9.0,1557,13.5
21.0,1578,14.5
16.0,1594,14.8
15.0,1609,14.3
11.0,1620,14.5
11.0,1631,14.4
9.0,1640,13.6
10.0,1650,12.5
19.0,1669,13.3
13.0,1682,13.4
11.0,1693,13.6
15.0,1708,13.0
11.0,1719,12.5
15.0,1734,12.5
10.0,1744,12.4
21.0,1765,13.4
10.0,1775,13.5
16.0,1791,14.1
11.0,1802,13.3
12.0,1814,13.2
10.0,1824,13.1
11.0,1835,12.7
15.0,1850,13.1
12.0,1862,12.8
12.0,1874,13.0
13.0,1887,12.2
14.0,1901,12.6
9.0,1910,11.9
20.0,1930,12.8
20.0,1950,13.6
12.0,1962,13.8
12.0,1974,13.9
17.0,1991,14.1
14.0,2005,14.3
13.0,2018,14.4
14.0,2032,14.5
14.0,2046,14.5
12.0,2058,14.8
18.0,2076,14.6
12.0,2088,13.8
9.0,2097,13.5
22.0,2119,14.5
20.0,2139,14.8
14.0,2153,14.8
17.0,2170,15.2
24.0,2194,16.2
12.0,2206,16.0
12.0,2218,16.0
35.0,2253,17.7
13.0,2266,17.8
38.0,2304,20.7
44.0,2348,22.9
20.0,2368,22.9
12.0,2380,22.7
27.0,2407,23.7
10.0,2417,22.3
25.0,2442,23.6
59.0,2501,28.3
14.0,2515,26.2
17.0,2532,26.6
16.0,2548,24.4
30.0,2578,23.0
16.0,2594,22.6
15.0,2609,22.9
25.0,2634,22.7
16.0,2650,23.3
17.0,2667,22.5
112.0,2779,27.8
21.0,2800,28.5
22.0,2822,29.0
14.0,2836,28.8
12.0,2848,27.0
89.0,2937,34.3
15.0,2952,34.3
29.0,2981,34.7
15.0,2996,34.6
36.0,3032,36.5
17.0,3049,27.0
46.0,3095,29.5
58.0,3153,33.1
24.0,3177,34.1
23.0,3200,35.2
21.0,3221,28.4
33.0,3254,30.2
20.0,3274,29.3
136.0,3410,41.4
26.0,3436,40.4
36.0,3472,42.3
25.0,3497,40.2
23.0,3520,36.7
32.0,3552,37.5
68.0,3620,42.0
15.0,3635,41.4
18.0,3653,39.9
90.0,3743,46.9
155.0,3898,48.8
24.0,3922,48.6
15.0,3937,46.5
13.0,3950,45.3
14.0,3964,44.4
88.0,4052,50.0
15.0,4067,44.7
22.0,4089,45.4
33.0,4122,46.9
20.0,4142,39.9
38.0,4180,28.2
97.0,4277,35.5
25.0,4302,36.5
81.0,4383,43.3
16.0,4399,43.5
14.0,4413,36.1
28.0,4441,37.4
71.0,4512,42.3
58.0,4570,44.8
33.0,4603,46.1
33.0,4636,45.6
37.0,4673,39.6
35.0,4708,40.6
30.0,4738,35.5
20.0,4758,35.9
28.0,4786,37.3
47.0,4833,39.2
28.0,4861,34.9
27.0,4888,31.8
81.0,4969,36.6
50.0,5019,38.3
24.0,5043,37.0
32.0,5075,36.7
37.0,5112,37.4
34.0,5146,38.8
27.0,5173,38.7
49.0,5222,38.9
60.0,5282,42.1
45.0,5327,43.9
32.0,5359,39.0
25.0,5384,36.5
23.0,5407,36.4
20.0,5427,35.2
21.0,5448,33.6
29.0,5477,33.1
17.0,5494,32.1
84.0,5578,35.6
79.0,5657,37.5
84.0,5741,41.4
160.0,5901,54.2
21.0,5922,53.8
28.0,5950,54.3
111.0,6061,63.4
35.0,6096,64.8
43.0,6139,66.2
42.0,6181,68.7
47.0,6228,65.0
66.0,6294,63.7
78.0,6372,63.1
88.0,6460,55.9
83.0,6543,62.1
121.0,6664,71.4
37.0,6701,64.0
25.0,6726,63.0
14.0,6740,60.1
13.0,6753,57.2
13.0,6766,53.8
12.0,6778,48.4
15.0,6793,42.1
19.0,6812,35.2
138.0,6950,40.7
66.0,7016,35.2
17.0,7033,33.2
35.0,7068,34.2
38.0,7106,36.6
44.0,7150,39.7
26.0,7176,41.0
21.0,7197,41.9
20.0,7217,42.4
41.0,7258,44.6
190.0,7448,49.8
28.0,7476,46.0
20.0,7496,46.3
17.0,7513,44.5
14.0,7527,42.1
14.0,7541,39.1
14.0,7555,37.9
19.0,7574,37.7
17.0,7591,37.4
19.0,7610,35.2
18.0,7628,18.0
36.0,7664,18.8
201.0,7865,36.9
52.0,7917,40.4
73.0,7990,46.3
104.0,8094,55.3
75.0,8169,61.4
17.0,8186,61.2
46.0,8232,64.1
55.0,8287,67.7
30.0,8317,68.9
38.0,8355,69.1
69.0,8424,55.9
97.0,8521,60.4
70.0,8591,60.1
38.0,8629,53.5
42.0,8671,50.2
61.0,8732,54.6
66.0,8798,56.6
44.0,8842,55.5
82.0,8924,60.7
31.0,8955,60.0
39.0,8994,57.0
79.0,9073,55.2
110.0,9183,59.2
37.0,9220,59.1
38.0,9258,58.7
77.0,9335,60.3
31.0,9366,56.8
57.0,9423,58.1
68.0,9491,56.7
55.0,9546,59.1
39.0,9585,59.1
63.0,9648,57.5
30.0,9678,49.5
41.0,9719,49.9
69.0,9788,53.0
50.0,9838,50.3
42.0,9880,51.4
21.0,9901,47.8
30.0,9931,44.0
40.0,9971,42.5
44.0,10015,43.0
100.0,10115,46.7
72.0,10187,50.9
27.0,10214,49.5
95.0,10309,52.1
73.0,10382,54.4
32.0,10414,53.4
51.0,10465,56.4
75.0,10540,60.9
136.0,10676,70.5
46.0,10722,70.7
139.0,10861,74.6
41.0,10902,71.5
72.0,10974,76.0
47.0,11021,71.2
230.0,11251,86.9
26.0,11277,86.3
57.0,11334,86.9
52.0,11386,84.6
118.0,11504,82.8
52.0,11556,83.4
87.0,11643,78.2
51.0,11694,79.2
45.0,11739,76.5
127.0,11866,84.5
33.0,11899,64.8
135.0,12034,75.7
127.0,12161,82.7
25.0,12186,80.0
284.0,12470,96.6
213.0,12683,112.7
31.0,12714,107.1
141.0,12855,116.1
103.0,12958,121.9
20.0,12978,111.2
124.0,13102,120.3
11.0,13113,107.9
13.0,13126,96.5
11.0,13137,95.1
11.0,13148,67.8
10.0,13158,47.5
13.0,13171,45.7
19.0,13190,33.5
33.0,13223,26.5
84.0,13307,32.9
28.0,13335,23.3
29.0,13364,25.1
20.0,13384,25.8
37.0,13421,28.4
29.0,13450,30.2
30.0,13480,32.2
45.0,13525,35.4
39.0,13564,37.4
50.0,13614,39.1
47.0,13661,35.4
50.0,13711,37.6
111.0,13822,45.8
76.0,13898,51.4
65.0,13963,54.2
97.0,14060,61.0
96.0,14156,67.6
101.0,14257,73.2
71.0,14328,76.4
69.0,14397,78.3
74.0,14471,81.0
58.0,14529,81.8
83.0,14612,79.0
114.0,14726,82.8
65.0,14791,82.8
61.0,14852,79.2
54.0,14906,75.0
78.0,14984,72.7
41.0,15025,69.7
34.0,15059,66.2
27.0,15086,61.5
26.0,15112,58.3
65.0,15177,56.5
65.0,15242,51.6
92.0,15334,54.3
67.0,15401,54.9
45.0,15446,54.0
56.0,15502,51.8
51.0,15553,52.8
67.0,15620,56.1
75.0,15695,60.9
56.0,15751,63.9
52.0,15803,62.6
54.0,15857,61.5
61.0,15918,58.4
66.0,15984,58.3
74.0,16058,61.2
64.0,16122,62.0
36.0,16158,60.5
34.0,16192,57.2
53.0,16245,55.0
71.0,16316,56.5
48.0,16364,56.1
46.0,16410,55.3
39.0,16449,53.1
44.0,16493,50.9
45.0,16538,48.0
66.0,16604,48.2
69.0,16673,51.5
58.0,16731,53.9
44.0,16775,53.0
78.0,16853,53.7
60.0,16913,54.9
64.0,16977,56.7
50.0,17027,57.8
44.0,17071,57.8
61.0,17132,59.4
48.0,17180,57.6
34.0,17214,54.1
31.0,17245,51.4
27.0,17272,49.7
32.0,17304,45.1
111.0,17415,50.2
49.0,17464,48.7
109.0,17573,54.6
106.0,17679,60.8
115.0,17794,66.2
156.0,17950,77.0
263.0,18213,99.9
14.0,18227,98.2
151.0,18378,110.6
19.0,18397,109.3
139.0,18536,112.1
420.0,18956,149.2
296.0,19252,167.9
