Episode_Return,env_step,Episode_Return_smooth
12.0,12,12.0
10.0,22,11.0
18.0,40,13.333333333333334
27.0,67,16.75
21.0,88,17.6
14.0,102,17.0
17.0,119,17.0
12.0,131,16.375
42.0,173,19.22222222222222
14.0,187,18.7
28.0,215,20.3
23.0,238,21.6
31.0,269,22.9
9.0,278,21.1
21.0,299,21.1
11.0,310,20.8
21.0,331,21.2
55.0,386,25.5
11.0,397,22.4
14.0,411,22.4
17.0,428,21.3
25.0,453,21.5
11.0,464,19.5
16.0,480,20.2
27.0,507,20.8
12.0,519,20.9
18.0,537,20.6
16.0,553,16.7
10.0,563,16.6
26.0,589,17.8
13.0,602,17.4
25.0,627,17.4
24.0,651,18.7
22.0,673,19.3
14.0,687,18.0
13.0,700,18.1
16.0,716,17.9
21.0,737,18.4
60.0,797,23.4
11.0,808,21.9
11.0,819,21.7
21.0,840,21.3
11.0,851,20.0
13.0,864,19.1
19.0,883,19.6
10.0,893,19.3
28.0,921,20.5
38.0,959,22.2
22.0,981,18.4
18.0,999,19.1
32.0,1031,21.2
15.0,1046,20.6
31.0,1077,22.6
15.0,1092,22.8
12.0,1104,22.1
34.0,1138,24.5
47.0,1185,26.4
16.0,1201,24.2
11.0,1212,23.1
18.0,1230,23.1
10.0,1240,20.9
16.0,1256,21.0
16.0,1272,19.5
13.0,1285,19.3
18.0,1303,19.9
12.0,1315,17.7
10.0,1325,14.0
17.0,1342,14.1
13.0,1355,14.3
21.0,1376,14.6
18.0,1394,15.4
13.0,1407,15.1
13.0,1420,14.8
10.0,1430,14.5
17.0,1447,14.4
14.0,1461,14.6
16.0,1477,15.2
17.0,1494,15.2
17.0,1511,15.6
13.0,1524,14.8
29.0,1553,15.9
25.0,1578,17.1
10.0,1588,16.8
13.0,1601,17.1
26.0,1627,18.0
11.0,1638,17.7
15.0,1653,17.6
19.0,1672,17.8
19.0,1691,18.0
12.0,1703,17.9
12.0,1715,16.2
14.0,1729,15.1
10.0,1739,15.1
12.0,1751,15.0
11.0,1762,13.5
11.0,1773,13.5
44.0,1817,16.4
17.0,1834,16.2
10.0,1844,15.3
32.0,1876,17.3
15.0,1891,17.6
74.0,1965,23.6
18.0,1983,24.4
24.0,2007,25.6
13.0,2020,25.8
27.0,2047,27.4
10.0,2057,24.0
17.0,2074,24.0
14.0,2088,24.4
21.0,2109,23.3
42.0,2151,26.0
9.0,2160,19.5
14.0,2174,19.1
9.0,2183,17.6
23.0,2206,18.6
38.0,2244,19.7
9.0,2253,19.6
10.0,2263,18.9
11.0,2274,18.6
18.0,2292,18.3
12.0,2304,15.3
9.0,2313,15.3
13.0,2326,15.2
19.0,2345,16.2
22.0,2367,16.1
16.0,2383,13.9
14.0,2397,14.4
20.0,2417,15.4
11.0,2428,15.4
12.0,2440,14.8
12.0,2452,14.8
12.0,2464,15.1
13.0,2477,15.1
16.0,2493,14.8
14.0,2507,14.0
262.0,2769,38.6
25.0,2794,39.7
46.0,2840,42.3
79.0,2919,49.1
9.0,2928,48.8
10.0,2938,48.6
18.0,2956,49.2
9.0,2965,48.8
9.0,2974,48.1
12.0,2986,47.9
17.0,3003,23.4
12.0,3015,22.1
14.0,3029,18.9
27.0,3056,13.7
21.0,3077,14.9
19.0,3096,15.8
13.0,3109,15.3
15.0,3124,15.9
15.0,3139,16.5
13.0,3152,16.6
38.0,3190,18.7
12.0,3202,18.7
22.0,3224,19.5
35.0,3259,20.3
92.0,3351,27.4
128.0,3479,38.3
40.0,3519,41.0
19.0,3538,41.4
28.0,3566,42.7
137.0,3703,55.1
17.0,3720,53.0
36.0,3756,55.4
20.0,3776,55.2
34.0,3810,55.1
35.0,3845,49.4
24.0,3869,39.0
25.0,3894,37.5
30.0,3924,38.6
28.0,3952,38.6
31.0,3983,28.0
56.0,4039,31.9
32.0,4071,31.5
37.0,4108,33.2
31.0,4139,32.9
90.0,4229,38.4
37.0,4266,39.7
20.0,4286,39.2
119.0,4405,48.1
35.0,4440,48.8
21.0,4461,47.8
15.0,4476,43.7
16.0,4492,42.1
18.0,4510,40.2
16.0,4526,38.7
11.0,4537,30.8
13.0,4550,28.4
13.0,4563,27.7
15.0,4578,17.3
18.0,4596,15.6
64.0,4660,19.9
57.0,4717,24.1
45.0,4762,27.0
35.0,4797,28.7
31.0,4828,30.2
42.0,4870,33.3
46.0,4916,36.6
33.0,4949,38.6
10.0,4959,38.1
25.0,4984,38.8
29.0,5013,35.3
101.0,5114,39.7
24.0,5138,37.6
29.0,5167,37.0
93.0,5260,43.2
116.0,5376,50.6
188.0,5564,64.8
93.0,5657,70.8
50.0,5707,74.8
108.0,5815,83.1
15.0,5830,81.7
17.0,5847,73.3
19.0,5866,72.8
18.0,5884,71.7
70.0,5954,69.4
36.0,5990,61.4
24.0,6014,45.0
29.0,6043,38.6
26.0,6069,36.2
119.0,6188,37.3
44.0,6232,40.2
38.0,6270,42.3
31.0,6301,43.5
56.0,6357,47.3
230.0,6587,63.3
68.0,6655,66.5
65.0,6720,70.6
83.0,6803,76.0
50.0,6853,78.4
31.0,6884,69.6
17.0,6901,66.9
19.0,6920,65.0
40.0,6960,65.9
69.0,7029,67.2
25.0,7054,46.7
28.0,7082,42.7
44.0,7126,40.6
73.0,7199,39.6
83.0,7282,42.9
25.0,7307,42.3
90.0,7397,49.6
154.0,7551,63.1
28.0,7579,61.9
50.0,7629,60.0
70.0,7699,64.5
87.0,7786,70.4
167.0,7953,82.7
58.0,8011,81.2
40.0,8051,76.9
28.0,8079,77.2
32.0,8111,71.4
40.0,8151,60.0
46.0,8197,61.8
131.0,8328,69.9
41.0,8369,67.0
43.0,8412,62.6
105.0,8517,56.4
183.0,8700,68.9
26.0,8726,67.5
148.0,8874,79.5
33.0,8907,79.6
39.0,8946,79.5
52.0,8998,80.1
35.0,9033,70.5
91.0,9124,75.5
22.0,9146,73.4
19.0,9165,64.8
21.0,9186,48.6
36.0,9222,49.6
166.0,9388,51.4
199.0,9587,68.0
30.0,9617,67.1
18.0,9635,63.7
26.0,9661,62.8
201.0,9862,73.8
184.0,10046,90.0
38.0,10084,91.9
52.0,10136,95.0
28.0,10164,94.2
41.0,10205,81.7
170.0,10375,78.8
26.0,10401,78.4
29.0,10430,79.5
283.0,10713,105.2
151.0,10864,100.2
16.0,10880,83.4
68.0,10948,86.4
27.0,10975,83.9
21.0,10996,83.2
22.0,11018,81.3
25.0,11043,66.8
182.0,11225,82.4
240.0,11465,103.5
36.0,11501,78.8
18.0,11519,65.5
18.0,11537,65.7
19.0,11556,60.8
91.0,11647,67.2
104.0,11751,75.5
204.0,11955,93.7
376.0,12331,128.8
111.0,12442,121.7
24.0,12466,100.1
18.0,12484,98.3
396.0,12880,136.1
80.0,12960,142.3
33.0,12993,143.7
20.0,13013,136.6
223.0,13236,148.5
500.0,13736,178.1
189.0,13925,159.4
138.0,14063,162.1
25.0,14088,162.2
217.0,14305,182.1
221.0,14526,164.6
197.0,14723,176.3
14.0,14737,174.4
15.0,14752,173.9
301.0,15053,181.7
232.0,15285,154.9
167.0,15452,152.7
244.0,15696,163.3
148.0,15844,175.6
194.0,16038,173.3
130.0,16168,164.2
159.0,16327,160.4
214.0,16541,180.4
138.0,16679,192.7
184.0,16863,181.0
155.0,17018,173.3
139.0,17157,170.5
