Episode_Return,env_step,Episode_Return_smooth
19.0,19,19.0
18.0,37,18.5
21.0,58,19.333333333333332
27.0,85,21.25
19.0,104,20.8
22.0,126,21.0
10.0,136,19.428571428571427
10.0,146,18.25
32.0,178,19.77777777777778
19.0,197,19.7
14.0,211,19.2
15.0,226,18.9
11.0,237,17.9
16.0,253,16.8
14.0,267,16.3
17.0,284,15.8
48.0,332,19.6
21.0,353,20.7
10.0,363,18.5
17.0,380,18.3
10.0,390,17.9
22.0,412,18.6
35.0,447,21.0
34.0,481,22.8
40.0,521,25.4
15.0,536,25.2
11.0,547,21.5
12.0,559,20.6
14.0,573,21.0
17.0,590,21.0
12.0,602,21.2
9.0,611,19.9
22.0,633,18.6
48.0,681,20.0
58.0,739,21.8
19.0,758,22.2
23.0,781,23.4
37.0,818,25.9
46.0,864,29.1
22.0,886,29.6
23.0,909,30.7
17.0,926,31.5
26.0,952,31.9
19.0,971,29.0
55.0,1026,28.7
49.0,1075,31.7
46.0,1121,34.0
57.0,1178,36.0
28.0,1206,34.2
26.0,1232,34.6
30.0,1262,35.3
11.0,1273,34.7
20.0,1293,34.1
77.0,1370,39.9
39.0,1409,38.3
73.0,1482,40.7
41.0,1523,40.2
12.0,1535,35.7
16.0,1551,34.5
15.0,1566,33.4
26.0,1592,33.0
19.0,1611,33.8
14.0,1625,33.2
37.0,1662,29.2
59.0,1721,31.2
40.0,1761,27.9
46.0,1807,28.4
67.0,1874,33.9
24.0,1898,34.7
11.0,1909,34.3
23.0,1932,34.0
27.0,1959,34.8
86.0,2045,42.0
38.0,2083,42.1
26.0,2109,38.8
29.0,2138,37.7
41.0,2179,37.2
64.0,2243,36.9
63.0,2306,40.8
15.0,2321,41.2
67.0,2388,45.6
41.0,2429,47.0
40.0,2469,42.4
82.0,2551,46.8
43.0,2594,48.5
20.0,2614,47.6
11.0,2625,44.6
98.0,2723,48.0
38.0,2761,45.5
33.0,2794,47.3
23.0,2817,42.9
12.0,2829,40.0
13.0,2842,37.3
68.0,2910,35.9
26.0,2936,34.2
87.0,3023,40.9
37.0,3060,43.5
36.0,3096,37.3
76.0,3172,41.1
43.0,3215,42.1
24.0,3239,42.2
71.0,3310,48.1
128.0,3438,59.6
113.0,3551,64.1
153.0,3704,76.8
30.0,3734,71.1
33.0,3767,70.7
88.0,3855,75.9
32.0,3887,71.5
30.0,3917,70.2
13.0,3930,69.1
49.0,3979,66.9
86.0,4065,62.7
80.0,4145,59.4
14.0,4159,45.5
44.0,4203,46.9
32.0,4235,46.8
28.0,4263,40.8
69.0,4332,44.5
118.0,4450,53.3
108.0,4558,62.8
106.0,4664,68.5
114.0,4778,71.3
57.0,4835,69.0
18.0,4853,69.4
64.0,4917,71.4
72.0,4989,75.4
91.0,5080,81.7
177.0,5257,92.5
60.0,5317,86.7
28.0,5345,78.7
153.0,5498,83.4
222.0,5720,94.2
23.0,5743,90.8
32.0,5775,92.2
41.0,5816,89.9
17.0,5833,84.4
151.0,5984,90.4
35.0,6019,76.2
67.0,6086,76.9
75.0,6161,81.6
56.0,6217,71.9
37.0,6254,53.4
52.0,6306,56.3
117.0,6423,64.8
13.0,6436,62.0
138.0,6574,74.1
34.0,6608,62.4
114.0,6722,70.3
128.0,6850,76.4
75.0,6925,76.4
155.0,7080,86.3
46.0,7126,87.2
24.0,7150,84.4
21.0,7171,74.8
28.0,7199,76.3
43.0,7242,66.8
107.0,7349,74.1
55.0,7404,68.2
143.0,7547,69.7
144.0,7691,76.6
86.0,7777,69.7
65.0,7842,71.6
222.0,8064,91.4
146.0,8210,103.9
167.0,8377,117.8
83.0,8460,121.8
212.0,8672,132.3
13.0,8685,128.1
75.0,8760,121.3
24.0,8784,109.3
66.0,8850,107.3
65.0,8915,107.3
163.0,9078,101.4
36.0,9114,90.4
236.0,9350,97.3
70.0,9420,96.0
53.0,9473,80.1
75.0,9548,86.3
141.0,9689,92.9
18.0,9707,92.3
175.0,9882,103.2
23.0,9905,99.0
37.0,9942,86.4
173.0,10115,100.1
45.0,10160,81.0
149.0,10309,88.9
31.0,10340,86.7
24.0,10364,81.6
18.0,10382,69.3
21.0,10403,69.6
160.0,10563,68.1
136.0,10699,79.4
142.0,10841,89.9
140.0,10981,86.6
143.0,11124,96.4
43.0,11167,85.8
116.0,11283,94.3
126.0,11409,104.5
114.0,11523,114.1
126.0,11649,124.6
13.0,11662,109.9
123.0,11785,108.6
97.0,11882,104.1
14.0,11896,91.5
123.0,12019,89.5
45.0,12064,89.7
131.0,12195,91.2
14.0,12209,80.0
37.0,12246,72.3
133.0,12379,73.0
141.0,12520,85.8
125.0,12645,86.0
41.0,12686,80.4
195.0,12881,98.5
136.0,13017,99.8
116.0,13133,106.9
49.0,13182,98.7
25.0,13207,99.8
62.0,13269,102.3
16.0,13285,90.6
12.0,13297,77.7
110.0,13407,76.2
106.0,13513,82.7
137.0,13650,76.9
99.0,13749,73.2
111.0,13860,72.7
105.0,13965,78.3
125.0,14090,88.3
21.0,14111,84.2
124.0,14235,95.0
112.0,14347,105.0
113.0,14460,105.3
31.0,14491,97.8
116.0,14607,95.7
111.0,14718,96.9
17.0,14735,87.5
111.0,14846,88.1
108.0,14954,86.4
110.0,15064,95.3
