Episode_Return,Episode_Return_smooth,env_step
20.4,20.4,29.0
14.6,17.5,37.0
27.6,20.866666666666667,54.0
32.4,23.75,65.0
25.8,24.160000000000004,74.0
23.0,23.966666666666665,89.0
14.0,22.542857142857144,103.0
17.0,21.85,135.0
17.6,21.377777777777776,157.0
18.6,21.1,171.0
21.8,21.24,186.0
17.8,21.559999999999995,199.0
24.2,21.22,213.0
18.2,19.8,227.0
27.2,19.94,246.0
31.8,20.82,256.0
24.2,21.84,267.0
28.0,22.939999999999998,325.0
20.6,23.240000000000002,334.0
26.4,24.020000000000003,345.0
17.4,23.580000000000002,357.0
36.2,25.42,394.0
15.8,24.580000000000002,405.0
18.0,24.560000000000002,422.0
19.2,23.76,436.0
15.6,22.139999999999997,450.0
23.8,22.099999999999998,500.0
21.2,21.42,516.0
16.8,21.04,534.0
26.6,21.060000000000002,552.0
18.2,21.139999999999997,568.0
14.4,18.96,579.0
15.0,18.880000000000003,595.0
26.8,19.759999999999998,612.0
23.0,20.139999999999997,628.0
17.8,20.360000000000003,638.0
25.8,20.560000000000002,663.0
33.0,21.740000000000002,710.0
18.2,21.880000000000003,728.0
14.6,20.68,738.0
29.0,21.76,757.0
23.2,22.639999999999997,785.0
17.0,22.840000000000003,798.0
15.8,21.74,812.0
23.2,21.759999999999998,825.0
25.6,22.54,846.0
22.2,22.18,864.0
16.0,20.48,875.0
22.2,20.880000000000003,884.0
21.0,21.52,897.0
13.0,19.919999999999998,907.0
28.6,20.46,988.0
21.2,20.88,1006.0
11.8,20.479999999999997,1019.0
18.8,20.04,1041.0
21.2,19.6,1066.0
17.8,19.160000000000004,1078.0
13.0,18.860000000000003,1091.0
23.8,19.02,1111.0
26.6,19.580000000000002,1129.0
24.6,20.74,1145.0
18.0,19.68,1158.0
19.2,19.479999999999997,1176.0
17.8,20.08,1193.0
11.8,19.380000000000003,1209.0
18.2,19.080000000000002,1221.0
23.8,19.68,1247.0
19.6,20.34,1268.0
16.4,19.6,1282.0
16.6,18.6,1301.0
26.8,18.82,1313.0
22.6,19.28,1325.0
19.0,19.26,1339.0
21.2,19.6,1353.0
17.8,20.2,1367.0
25.8,20.96,1380.0
18.0,20.38,1395.0
20.8,20.5,1440.0
36.4,22.500000000000004,1476.0
20.8,22.919999999999998,1517.0
27.6,23.0,1532.0
22.0,22.94,1572.0
22.4,23.279999999999998,1583.0
31.0,24.26,1605.0
21.8,24.66,1618.0
16.2,23.7,1631.0
53.2,27.22,1646.0
25.2,27.660000000000004,1667.0
18.0,25.819999999999993,1690.0
24.8,26.22,1709.0
60.0,29.46,1762.0
42.0,31.459999999999997,1780.0
28.0,32.019999999999996,1794.0
24.8,31.4,1822.0
27.8,32.0,1846.0
54.2,35.8,1895.0
39.2,34.4,1929.0
24.0,34.28,1941.0
22.6,34.74,1958.0
31.8,35.44,2031.0
27.2,32.16,2055.0
13.6,29.320000000000004,2067.0
36.4,30.159999999999997,2087.0
24.2,30.1,2125.0
31.4,30.46,2158.0
32.0,28.24,2228.0
21.0,26.419999999999998,2255.0
41.2,28.139999999999997,2275.0
27.0,28.580000000000002,2294.0
36.6,29.060000000000002,2312.0
61.6,32.5,2333.0
31.0,34.239999999999995,2351.0
30.2,33.620000000000005,2368.0
41.6,35.36,2459.0
23.6,34.58,2505.0
28.0,34.18,2541.0
44.8,36.56,2562.0
52.6,37.7,2702.0
20.0,37.0,2720.0
24.0,35.739999999999995,2732.0
34.4,33.019999999999996,2741.0
20.0,31.919999999999998,2756.0
43.8,33.279999999999994,2857.0
