Episode_Return,env_step,Episode_Return_smooth
14.0,14,14.0
13.0,27,13.5
11.0,38,12.666666666666666
23.0,61,15.25
27.0,88,17.6
22.0,110,18.333333333333332
16.0,126,18.0
18.0,144,18.0
30.0,174,19.333333333333332
27.0,201,20.1
12.0,213,19.9
24.0,237,21.0
24.0,261,22.3
14.0,275,21.4
22.0,297,20.9
30.0,327,21.7
20.0,347,22.1
19.0,366,22.2
15.0,381,20.7
12.0,393,19.2
12.0,405,19.2
54.0,459,22.2
13.0,472,21.1
14.0,486,21.1
13.0,499,20.2
23.0,522,19.5
10.0,532,18.5
27.0,559,19.3
25.0,584,20.3
16.0,600,20.7
13.0,613,20.8
16.0,629,17.0
11.0,640,16.8
24.0,664,17.8
24.0,688,18.9
11.0,699,17.7
46.0,745,21.3
12.0,757,19.8
22.0,779,19.5
18.0,797,19.7
33.0,830,21.7
13.0,843,21.4
19.0,862,22.2
24.0,886,22.2
34.0,920,23.2
48.0,968,26.9
33.0,1001,25.6
13.0,1014,25.7
10.0,1024,24.5
27.0,1051,25.4
10.0,1061,23.1
20.0,1081,23.8
35.0,1116,25.4
14.0,1130,24.4
13.0,1143,22.3
17.0,1160,19.2
12.0,1172,17.1
9.0,1181,16.7
41.0,1222,19.8
23.0,1245,19.4
14.0,1259,19.8
19.0,1278,19.7
34.0,1312,19.6
16.0,1328,19.8
10.0,1338,19.5
24.0,1362,20.2
40.0,1402,23.0
17.0,1419,23.8
26.0,1445,22.3
21.0,1466,22.1
53.0,1519,26.0
39.0,1558,28.0
12.0,1570,25.8
18.0,1588,26.0
13.0,1601,26.3
16.0,1617,25.5
21.0,1638,23.6
11.0,1649,23.0
22.0,1671,22.6
8.0,1679,21.3
12.0,1691,17.2
25.0,1716,15.8
24.0,1740,17.0
18.0,1758,17.0
15.0,1773,17.2
27.0,1800,18.3
54.0,1854,21.6
16.0,1870,22.1
16.0,1886,21.5
46.0,1932,25.3
72.0,2004,31.3
93.0,2097,38.1
16.0,2113,37.3
45.0,2158,40.0
24.0,2182,40.9
34.0,2216,41.6
32.0,2248,39.4
19.0,2267,39.7
18.0,2285,39.9
23.0,2308,37.6
74.0,2382,37.8
19.0,2401,30.4
46.0,2447,33.4
27.0,2474,31.6
34.0,2508,32.6
25.0,2533,31.7
13.0,2546,29.8
17.0,2563,29.6
24.0,2587,30.2
65.0,2652,34.4
89.0,2741,35.9
59.0,2800,39.9
27.0,2827,38.0
25.0,2852,37.8
20.0,2872,36.4
40.0,2912,37.9
56.0,2968,42.2
35.0,3003,44.0
25.0,3028,44.1
26.0,3054,40.2
34.0,3088,34.7
21.0,3109,30.9
20.0,3129,30.2
30.0,3159,30.7
36.0,3195,32.3
49.0,3244,33.2
54.0,3298,33.0
19.0,3317,31.4
36.0,3353,32.5
48.0,3401,34.7
25.0,3426,33.8
45.0,3471,36.2
28.0,3499,37.0
72.0,3571,41.2
20.0,3591,39.6
51.0,3642,39.8
22.0,3664,36.6
25.0,3689,37.2
35.0,3724,37.1
20.0,3744,34.3
12.0,3756,33.0
14.0,3770,29.9
21.0,3791,29.2
9.0,3800,22.9
29.0,3829,23.8
15.0,3844,20.2
