Episode_Return,env_step,Episode_Return_smooth
25.0,25,25.0
16.0,41,20.5
48.0,89,29.666666666666668
46.0,135,33.75
31.0,166,33.2
14.0,180,30.0
12.0,192,27.428571428571427
11.0,203,25.375
14.0,217,24.11111111111111
12.0,229,22.9
50.0,279,25.4
10.0,289,24.8
29.0,318,22.9
41.0,359,22.4
19.0,378,21.2
15.0,393,21.3
12.0,405,21.3
15.0,420,21.7
9.0,429,21.2
19.0,448,21.9
17.0,465,18.6
24.0,489,20.0
31.0,520,20.2
17.0,537,17.8
13.0,550,17.2
23.0,573,18.0
13.0,586,18.1
15.0,601,18.1
13.0,614,18.5
33.0,647,19.9
18.0,665,20.0
23.0,688,19.9
14.0,702,18.2
45.0,747,21.0
31.0,778,22.8
16.0,794,22.1
36.0,830,24.4
26.0,856,25.5
21.0,877,26.3
15.0,892,24.5
23.0,915,25.0
41.0,956,26.8
21.0,977,27.5
13.0,990,24.3
21.0,1011,23.3
33.0,1044,25.0
12.0,1056,22.6
20.0,1076,22.0
12.0,1088,21.1
21.0,1109,21.7
13.0,1122,20.7
18.0,1140,18.4
9.0,1149,17.2
14.0,1163,17.3
17.0,1180,16.9
12.0,1192,14.8
25.0,1217,16.1
11.0,1228,15.2
26.0,1254,16.6
16.0,1270,16.1
15.0,1285,16.3
12.0,1297,15.7
14.0,1311,16.2
10.0,1321,15.8
13.0,1334,15.4
15.0,1349,15.7
15.0,1364,14.7
36.0,1400,17.2
16.0,1416,16.2
21.0,1437,16.7
21.0,1458,17.3
24.0,1482,18.5
13.0,1495,18.4
18.0,1513,19.2
16.0,1529,19.5
68.0,1597,24.8
16.0,1613,24.9
22.0,1635,23.5
30.0,1665,24.9
11.0,1676,23.9
25.0,1701,24.3
9.0,1710,22.8
19.0,1729,23.4
55.0,1784,27.1
19.0,1803,27.4
15.0,1818,22.1
19.0,1837,22.4
21.0,1858,22.3
13.0,1871,20.6
19.0,1890,21.4
21.0,1911,21.0
67.0,1978,26.8
12.0,1990,26.1
19.0,2009,22.5
69.0,2078,27.5
34.0,2112,29.4
20.0,2132,29.5
19.0,2151,29.3
18.0,2169,29.8
23.0,2192,30.2
14.0,2206,29.5
11.0,2217,23.9
86.0,2303,31.3
30.0,2333,32.4
44.0,2377,29.9
25.0,2402,29.0
15.0,2417,28.5
19.0,2436,28.5
20.0,2456,28.7
34.0,2490,29.8
18.0,2508,30.2
22.0,2530,31.3
67.0,2597,29.4
46.0,2643,31.0
16.0,2659,28.2
32.0,2691,28.9
19.0,2710,29.3
36.0,2746,31.0
15.0,2761,30.5
22.0,2783,29.3
19.0,2802,29.4
30.0,2832,30.2
24.0,2856,25.9
97.0,2953,31.0
122.0,3075,41.6
20.0,3095,40.4
15.0,3110,40.0
39.0,3149,40.3
20.0,3169,40.8
42.0,3211,42.8
17.0,3228,42.6
19.0,3247,41.5
21.0,3268,41.2
38.0,3306,35.3
41.0,3347,27.2
24.0,3371,27.6
42.0,3413,30.3
18.0,3431,28.2
34.0,3465,29.6
31.0,3496,28.5
28.0,3524,29.6
49.0,3573,32.6
35.0,3608,34.0
25.0,3633,32.7
26.0,3659,31.2
31.0,3690,31.9
27.0,3717,30.4
23.0,3740,30.9
89.0,3829,36.4
28.0,3857,36.1
73.0,3930,40.6
159.0,4089,51.6
58.0,4147,53.9
31.0,4178,54.5
35.0,4213,55.4
31.0,4244,55.4
77.0,4321,60.4
108.0,4429,68.9
20.0,4449,62.0
18.0,4467,61.0
118.0,4585,65.5
27.0,4612,52.3
20.0,4632,48.5
28.0,4660,48.2
17.0,4677,46.4
29.0,4706,46.2
23.0,4729,40.8
15.0,4744,31.5
40.0,4784,33.5
44.0,4828,36.1
44.0,4872,28.7
40.0,4912,30.0
81.0,4993,36.1
217.0,5210,55.0
10.0,5220,54.3
12.0,5232,52.6
23.0,5255,52.6
14.0,5269,52.5
14.0,5283,49.9
63.0,5346,51.8
43.0,5389,51.7
58.0,5447,53.5
16.0,5463,47.0
19.0,5482,27.2
29.0,5511,29.1
34.0,5545,31.3
37.0,5582,32.7
33.0,5615,34.6
30.0,5645,36.2
40.0,5685,33.9
193.0,5878,48.9
25.0,5903,45.6
73.0,5976,51.3
38.0,6014,53.2
32.0,6046,53.5
47.0,6093,54.8
122.0,6215,63.3
25.0,6240,62.5
33.0,6273,62.8
53.0,6326,64.1
49.0,6375,49.7
39.0,6414,51.1
34.0,6448,47.2
43.0,6491,47.7
80.0,6571,52.5
63.0,6634,54.1
67.0,6701,48.6
52.0,6753,51.3
198.0,6951,67.8
95.0,7046,72.0
163.0,7209,83.4
45.0,7254,84.0
143.0,7397,94.9
17.0,7414,92.3
194.0,7608,103.7
271.0,7879,124.5
27.0,7906,120.5
14.0,7920,116.7
9.0,7929,97.8
17.0,7946,90.0
13.0,7959,75.0
28.0,7987,73.3
82.0,8069,67.2
30.0,8099,68.5
32.0,8131,52.3
69.0,8200,32.1
17.0,8217,31.1
90.0,8307,38.7
110.0,8417,48.8
21.0,8438,49.2
53.0,8491,53.2
79.0,8570,58.3
139.0,8709,64.0
170.0,8879,78.0
146.0,9025,89.4
178.0,9203,100.3
298.0,9501,128.4
162.0,9663,135.6
23.0,9686,126.9
20.0,9706,126.8
16.0,9722,123.1
107.0,9829,125.9
237.0,10066,135.7
111.0,10177,129.8
66.0,10243,121.8
142.0,10385,118.2
19.0,10404,90.3
84.0,10488,82.5
50.0,10538,85.2
231.0,10769,106.3
267.0,11036,131.4
260.0,11296,146.7
146.0,11442,137.6
27.0,11469,129.2
106.0,11575,133.2
164.0,11739,135.4
40.0,11779,137.5
