Episode_Return,env_step,Episode_Return_smooth
17.0,17,17.0
18.0,35,17.5
31.0,66,22.0
41.0,107,26.75
31.0,138,27.6
32.0,170,28.333333333333332
14.0,184,26.285714285714285
12.0,196,24.5
11.0,207,23.0
20.0,227,22.7
16.0,243,22.6
21.0,264,22.9
27.0,291,22.5
11.0,302,19.5
38.0,340,20.2
52.0,392,22.2
39.0,431,24.7
24.0,455,25.9
35.0,490,28.3
45.0,535,30.8
23.0,558,31.5
33.0,591,32.7
12.0,603,31.2
21.0,624,32.2
28.0,652,31.2
9.0,661,26.9
23.0,684,25.3
24.0,708,25.3
14.0,722,23.2
33.0,755,22.0
22.0,777,21.9
11.0,788,19.7
17.0,805,20.2
24.0,829,20.5
22.0,851,19.9
26.0,877,21.6
11.0,888,20.4
40.0,928,22.0
15.0,943,22.1
15.0,958,20.3
35.0,993,21.6
17.0,1010,22.2
16.0,1026,22.1
14.0,1040,21.1
24.0,1064,21.3
13.0,1077,20.0
24.0,1101,21.3
18.0,1119,19.1
40.0,1159,21.6
22.0,1181,22.3
16.0,1197,20.4
12.0,1209,19.9
22.0,1231,20.5
9.0,1240,20.0
21.0,1261,19.7
26.0,1287,21.0
20.0,1307,20.6
16.0,1323,20.4
16.0,1339,18.0
38.0,1377,19.6
39.0,1416,21.9
23.0,1439,23.0
15.0,1454,22.3
23.0,1477,23.7
10.0,1487,22.6
20.0,1507,22.0
19.0,1526,21.9
12.0,1538,21.5
13.0,1551,21.2
11.0,1562,18.5
24.0,1586,17.0
19.0,1605,16.6
28.0,1633,17.9
28.0,1661,18.4
23.0,1684,19.7
16.0,1700,19.3
19.0,1719,19.3
13.0,1732,19.4
47.0,1779,22.8
22.0,1801,23.9
43.0,1844,25.8
18.0,1862,25.7
29.0,1891,25.8
30.0,1921,26.0
31.0,1952,26.8
13.0,1965,26.5
89.0,2054,33.5
34.0,2088,35.6
19.0,2107,32.8
20.0,2127,32.6
77.0,2204,36.0
16.0,2220,35.8
49.0,2269,37.8
16.0,2285,36.4
11.0,2296,34.4
77.0,2373,40.8
55.0,2428,37.4
35.0,2463,37.5
30.0,2493,38.6
20.0,2513,38.6
12.0,2525,32.1
13.0,2538,31.8
15.0,2553,28.4
13.0,2566,28.1
23.0,2589,29.3
20.0,2609,23.6
25.0,2634,20.6
75.0,2709,24.6
36.0,2745,25.2
33.0,2778,26.5
90.0,2868,34.3
28.0,2896,35.8
20.0,2916,36.3
23.0,2939,37.3
18.0,2957,36.8
16.0,2973,36.4
64.0,3037,40.3
26.0,3063,35.4
21.0,3084,33.9
30.0,3114,33.6
55.0,3169,30.1
17.0,3186,29.0
37.0,3223,30.7
45.0,3268,32.9
31.0,3299,34.2
82.0,3381,40.8
33.0,3414,37.7
23.0,3437,37.4
35.0,3472,38.8
37.0,3509,39.5
14.0,3523,35.4
40.0,3563,37.7
73.0,3636,41.3
32.0,3668,40.0
86.0,3754,45.5
19.0,3773,39.2
35.0,3808,39.4
61.0,3869,43.2
39.0,3908,43.6
66.0,3974,46.5
76.0,4050,52.7
24.0,4074,51.1
85.0,4159,52.3
17.0,4176,50.8
109.0,4285,53.1
29.0,4314,54.1
79.0,4393,58.5
27.0,4420,55.1
19.0,4439,53.1
65.0,4504,53.0
106.0,4610,56.0
57.0,4667,59.3
13.0,4680,52.1
18.0,4698,52.2
50.0,4748,46.3
46.0,4794,48.0
21.0,4815,42.2
82.0,4897,47.7
31.0,4928,48.9
84.0,5012,50.8
88.0,5100,49.0
36.0,5136,46.9
35.0,5171,49.1
200.0,5371,67.3
49.0,5420,67.2
32.0,5452,65.8
26.0,5478,66.3
122.0,5600,70.3
82.0,5682,75.4
34.0,5716,70.4
103.0,5819,71.9
27.0,5846,71.0
40.0,5886,71.5
51.0,5937,56.6
55.0,5992,57.2
70.0,6062,61.0
27.0,6089,61.1
41.0,6130,53.0
39.0,6169,48.7
52.0,6221,50.5
60.0,6281,46.2
129.0,6410,56.4
115.0,6525,63.9
