Episode_Return,env_step,Episode_Return_smooth
15.0,15,15.0
23.0,38,19.0
19.0,57,19.0
36.0,93,23.25
39.0,132,26.4
19.0,151,25.166666666666668
12.0,163,23.285714285714285
12.0,175,21.875
24.0,199,22.11111111111111
41.0,240,24.0
16.0,256,24.1
15.0,271,23.3
16.0,287,23.0
22.0,309,21.6
16.0,325,19.3
24.0,349,19.8
20.0,369,20.6
22.0,391,21.6
17.0,408,20.9
15.0,423,18.3
39.0,462,20.6
28.0,490,21.9
28.0,518,23.1
40.0,558,24.9
26.0,584,25.9
31.0,615,26.6
20.0,635,26.6
24.0,659,26.8
16.0,675,26.7
34.0,709,28.6
25.0,734,27.2
11.0,745,25.5
26.0,771,25.3
29.0,800,24.2
32.0,832,24.8
58.0,890,27.5
14.0,904,26.9
13.0,917,25.8
12.0,929,25.4
73.0,1002,29.3
26.0,1028,29.4
22.0,1050,30.5
42.0,1092,32.1
24.0,1116,31.6
46.0,1162,33.0
23.0,1185,29.5
39.0,1224,32.0
29.0,1253,33.6
15.0,1268,33.9
13.0,1281,27.9
16.0,1297,26.9
19.0,1316,26.6
20.0,1336,24.4
16.0,1352,23.6
48.0,1400,23.8
39.0,1439,25.4
50.0,1489,26.5
83.0,1572,31.9
12.0,1584,31.6
85.0,1669,38.8
38.0,1707,41.0
61.0,1768,45.2
52.0,1820,48.4
100.0,1920,56.8
53.0,1973,57.3
101.0,2074,63.5
25.0,2099,61.0
32.0,2131,55.9
100.0,2231,64.7
126.0,2357,68.8
127.0,2484,77.7
24.0,2508,74.0
50.0,2558,73.8
11.0,2569,64.9
41.0,2610,63.7
34.0,2644,57.0
13.0,2657,55.8
33.0,2690,55.9
43.0,2733,50.2
79.0,2812,45.5
95.0,2907,42.3
113.0,3020,51.2
183.0,3203,64.5
88.0,3291,72.2
27.0,3318,70.8
25.0,3343,69.9
18.0,3361,70.4
46.0,3407,71.7
12.0,3419,68.6
136.0,3555,74.3
49.0,3604,69.7
52.0,3656,63.6
19.0,3675,47.2
17.0,3692,40.1
61.0,3753,43.5
67.0,3820,47.7
28.0,3848,48.7
17.0,3865,45.8
21.0,3886,46.7
16.0,3902,34.7
63.0,3965,36.1
188.0,4153,49.7
102.0,4255,58.0
60.0,4315,62.3
29.0,4344,59.1
156.0,4500,68.0
35.0,4535,68.7
30.0,4565,70.0
115.0,4680,79.4
46.0,4726,82.4
126.0,4852,88.7
116.0,4968,81.5
142.0,5110,85.5
59.0,5169,85.4
16.0,5185,84.1
147.0,5332,83.2
100.0,5432,89.7
151.0,5583,101.8
104.0,5687,100.7
