Episode_Return,env_step,Episode_Return_smooth
18.0,18,18.0
16.0,34,17.0
20.0,54,18.0
16.0,70,17.5
11.0,81,16.2
16.0,97,16.166666666666668
10.0,107,15.285714285714286
33.0,140,17.5
47.0,187,20.77777777777778
14.0,201,20.1
29.0,230,21.2
17.0,247,21.3
22.0,269,21.5
12.0,281,21.1
12.0,293,21.2
17.0,310,21.3
11.0,321,21.4
26.0,347,20.7
18.0,365,17.8
10.0,375,17.4
13.0,388,15.8
11.0,399,15.2
12.0,411,14.2
26.0,437,15.6
14.0,451,15.8
15.0,466,15.6
13.0,479,15.8
17.0,496,14.9
40.0,536,17.1
26.0,562,18.7
12.0,574,18.6
18.0,592,19.3
24.0,616,20.5
47.0,663,22.6
12.0,675,22.4
15.0,690,22.4
37.0,727,24.8
28.0,755,25.9
21.0,776,24.0
15.0,791,22.9
12.0,803,22.9
33.0,836,24.4
13.0,849,23.3
20.0,869,20.6
16.0,885,21.0
21.0,906,21.6
18.0,924,19.7
29.0,953,19.8
16.0,969,19.3
11.0,980,18.9
19.0,999,19.6
47.0,1046,21.0
12.0,1058,20.9
11.0,1069,20.0
10.0,1079,19.4
14.0,1093,18.7
25.0,1118,19.4
42.0,1160,20.7
30.0,1190,22.1
16.0,1206,22.6
31.0,1237,23.8
20.0,1257,21.1
35.0,1292,23.4
70.0,1362,29.3
18.0,1380,30.1
12.0,1392,29.9
37.0,1429,31.1
10.0,1439,27.9
14.0,1453,26.3
16.0,1469,26.3
33.0,1502,26.5
12.0,1514,25.7
18.0,1532,24.0
27.0,1559,19.7
27.0,1586,20.6
10.0,1596,20.4
12.0,1608,17.9
18.0,1626,18.7
14.0,1640,18.7
17.0,1657,18.8
16.0,1673,17.1
15.0,1688,17.4
17.0,1705,17.3
25.0,1730,17.1
24.0,1754,16.8
14.0,1768,17.2
24.0,1792,18.4
17.0,1809,18.3
85.0,1894,25.4
21.0,1915,25.8
18.0,1933,26.0
28.0,1961,27.3
103.0,2064,35.9
32.0,2096,36.6
49.0,2145,39.1
15.0,2160,39.2
26.0,2186,39.4
15.0,2201,39.2
22.0,2223,32.9
83.0,2306,39.1
48.0,2354,42.1
13.0,2367,40.6
25.0,2392,32.8
35.0,2427,33.1
38.0,2465,32.0
18.0,2483,32.3
49.0,2532,34.6
20.0,2552,35.1
14.0,2566,34.3
22.0,2588,28.2
22.0,2610,25.6
120.0,2730,36.3
102.0,2832,44.0
18.0,2850,42.3
99.0,2949,48.4
57.0,3006,52.3
111.0,3117,58.5
29.0,3146,59.4
31.0,3177,61.1
55.0,3232,64.4
41.0,3273,66.3
34.0,3307,57.7
63.0,3370,53.8
81.0,3451,60.1
16.0,3467,51.8
19.0,3486,48.0
11.0,3497,38.0
14.0,3511,36.5
21.0,3532,35.5
35.0,3567,33.5
32.0,3599,32.6
34.0,3633,32.6
22.0,3655,28.5
18.0,3673,22.2
29.0,3702,23.5
44.0,3746,26.0
41.0,3787,29.0
27.0,3814,30.3
64.0,3878,34.6
57.0,3935,36.8
45.0,3980,38.1
84.0,4064,43.1
18.0,4082,42.7
16.0,4098,42.5
21.0,4119,41.7
16.0,4135,38.9
134.0,4269,48.2
37.0,4306,49.2
31.0,4337,45.9
37.0,4374,43.9
26.0,4400,42.0
38.0,4438,37.4
35.0,4473,39.1
95.0,4568,47.0
157.0,4725,60.6
76.0,4801,66.6
20.0,4821,55.2
84.0,4905,59.9
79.0,4984,64.7
16.0,5000,62.6
28.0,5028,62.8
26.0,5054,61.6
27.0,5081,60.8
15.0,5096,52.8
18.0,5114,38.9
13.0,5127,32.6
13.0,5140,31.9
12.0,5152,24.7
21.0,5173,18.9
72.0,5245,24.5
52.0,5297,26.9
123.0,5420,36.6
19.0,5439,35.8
45.0,5484,38.8
121.0,5605,49.1
53.0,5658,53.1
25.0,5683,54.3
26.0,5709,55.7
20.0,5729,55.6
19.0,5748,50.3
14.0,5762,46.5
15.0,5777,35.7
21.0,5798,35.9
18.0,5816,33.2
144.0,5960,35.5
112.0,6072,41.4
112.0,6184,50.1
126.0,6310,60.1
28.0,6338,60.9
17.0,6355,60.7
17.0,6372,61.0
24.0,6396,61.9
16.0,6412,61.4
23.0,6435,61.9
24.0,6459,49.9
150.0,6609,53.7
63.0,6672,48.8
14.0,6686,37.6
18.0,6704,36.6
132.0,6836,48.1
68.0,6904,53.2
26.0,6930,53.4
15.0,6945,53.3
12.0,6957,52.2
11.0,6968,50.9
10.0,6978,36.9
15.0,6993,32.1
16.0,7009,32.3
136.0,7145,44.1
132.0,7277,44.1
52.0,7329,42.5
28.0,7357,42.7
186.0,7543,59.8
111.0,7654,69.7
125.0,7779,81.1
52.0,7831,85.3
144.0,7975,98.2
200.0,8175,116.6
441.0,8616,147.1
500.0,9116,183.9
500.0,9616,228.7
500.0,10116,275.9
13.0,10129,258.6
16.0,10145,249.1
11.0,10156,237.7
11.0,10167,233.6
16.0,10183,220.8
21.0,10204,202.9
500.0,10704,208.8
500.0,11204,208.8
474.0,11678,206.2
141.0,11819,170.3
368.0,12187,205.8
173.0,12360,221.5
330.0,12690,253.4
419.0,13109,294.2
146.0,13255,307.2
500.0,13755,355.1
70.0,13825,312.1
253.0,14078,287.4
397.0,14475,279.7
308.0,14783,296.4
268.0,15051,286.4
285.0,15336,297.6
500.0,15836,314.6
207.0,16043,293.4
10.0,16053,279.8
9.0,16062,230.7
9.0,16071,224.6
10.0,16081,200.3
9.0,16090,161.5
11.0,16101,131.8
10.0,16111,106.0
12.0,16123,78.7
9.0,16132,29.6
9.0,16141,9.8
9.0,16150,9.7
14.0,16164,10.2
12.0,16176,10.5
17.0,16193,11.2
16.0,16209,11.9
29.0,16238,13.7
160.0,16398,28.7
14.0,16412,28.9
121.0,16533,40.1
36.0,16569,42.8
131.0,16700,55.0
143.0,16843,67.9
127.0,16970,79.4
109.0,17079,88.6
130.0,17209,100.0
141.0,17350,111.2
127.0,17477,107.9
125.0,17602,119.0
122.0,17724,119.1
129.0,17853,128.4
125.0,17978,127.8
102.0,18080,123.7
86.0,18166,119.6
70.0,18236,115.7
40.0,18276,106.7
16.0,18292,94.2
75.0,18367,89.0
68.0,18435,83.3
74.0,18509,78.5
61.0,18570,71.7
94.0,18664,68.6
56.0,18720,64.0
12.0,18732,56.6
140.0,18872,63.6
50.0,18922,64.6
14.0,18936,64.4
10.0,18946,57.9
12.0,18958,52.3
9.0,18967,45.8
12.0,18979,40.9
10.0,18989,32.5
12.0,19001,28.1
14.0,19015,28.3
9.0,19024,15.2
12.0,19036,11.4
11.0,19047,11.1
10.0,19057,11.1
11.0,19068,11.0
13.0,19081,11.4
12.0,19093,11.4
15.0,19108,11.9
14.0,19122,12.1
20.0,19142,12.7
255.0,19397,37.3
11.0,19408,37.2
13.0,19421,37.4
10.0,19431,37.4
11.0,19442,37.4
12.0,19454,37.3
267.0,19721,62.8
365.0,20086,97.8
312.0,20398,127.6
323.0,20721,157.9
336.0,21057,166.0
326.0,21383,197.5
321.0,21704,228.3
352.0,22056,262.5
303.0,22359,291.7
324.0,22683,322.9
265.0,22948,322.7
362.0,23310,322.4
270.0,23580,318.2
246.0,23826,310.5
271.0,24097,304.0
415.0,24512,312.9
471.0,24983,327.9
292.0,25275,321.9
355.0,25630,327.1
