Episode_Return,env_step,Episode_Return_smooth
12.0,12,12.0
19.0,31,15.5
20.0,51,17.0
32.0,83,20.75
9.0,92,18.4
26.0,118,19.666666666666668
27.0,145,20.714285714285715
12.0,157,19.625
10.0,167,18.555555555555557
12.0,179,17.9
13.0,192,18.0
31.0,223,19.2
16.0,239,18.8
15.0,254,17.1
64.0,318,22.6
49.0,367,24.9
21.0,388,24.3
19.0,407,25.0
22.0,429,26.2
20.0,449,27.0
12.0,461,26.9
21.0,482,25.9
14.0,496,25.7
28.0,524,27.0
30.0,554,23.6
10.0,564,19.7
11.0,575,18.7
21.0,596,18.9
18.0,614,18.5
13.0,627,17.8
12.0,639,17.8
26.0,665,18.3
26.0,691,19.5
38.0,729,20.5
12.0,741,18.7
18.0,759,19.5
89.0,848,27.3
52.0,900,30.4
26.0,926,31.2
88.0,1014,38.7
14.0,1028,38.9
14.0,1042,37.7
24.0,1066,37.5
13.0,1079,35.0
20.0,1099,35.8
19.0,1118,35.9
16.0,1134,28.6
62.0,1196,29.6
28.0,1224,29.8
30.0,1254,24.0
23.0,1277,24.9
13.0,1290,24.8
12.0,1302,23.6
19.0,1321,24.2
47.0,1368,26.9
15.0,1383,26.5
23.0,1406,27.2
27.0,1433,23.7
58.0,1491,26.7
21.0,1512,25.8
16.0,1528,25.1
17.0,1545,25.5
65.0,1610,30.8
53.0,1663,34.2
70.0,1733,36.5
10.0,1743,36.0
20.0,1763,35.7
36.0,1799,36.6
14.0,1813,32.2
15.0,1828,31.6
20.0,1848,32.0
18.0,1866,32.1
38.0,1904,29.4
21.0,1925,26.2
28.0,1953,22.0
17.0,1970,22.7
42.0,2012,24.9
23.0,2035,23.6
45.0,2080,26.7
29.0,2109,28.1
19.0,2128,28.0
26.0,2154,28.8
37.0,2191,28.7
115.0,2306,38.1
30.0,2336,38.3
23.0,2359,38.9
20.0,2379,36.7
62.0,2441,40.6
19.0,2460,38.0
44.0,2504,39.5
59.0,2563,43.5
55.0,2618,46.4
17.0,2635,44.4
55.0,2690,38.4
22.0,2712,37.6
15.0,2727,36.8
13.0,2740,36.1
20.0,2760,31.9
40.0,2800,34.0
42.0,2842,33.8
39.0,2881,31.8
50.0,2931,31.3
28.0,2959,32.4
37.0,2996,30.6
23.0,3019,30.7
63.0,3082,35.5
18.0,3100,36.0
29.0,3129,36.9
18.0,3147,34.7
32.0,3179,33.7
29.0,3208,32.7
31.0,3239,30.8
36.0,3275,31.6
38.0,3313,31.7
63.0,3376,35.7
79.0,3455,37.3
15.0,3470,37.0
14.0,3484,35.5
20.0,3504,35.7
29.0,3533,35.4
46.0,3579,37.1
18.0,3597,35.8
16.0,3613,33.8
25.0,3638,32.5
20.0,3658,28.2
35.0,3693,23.8
20.0,3713,24.3
36.0,3749,26.5
38.0,3787,28.3
22.0,3809,27.6
39.0,3848,26.9
21.0,3869,27.2
46.0,3915,30.2
59.0,3974,33.6
58.0,4032,37.4
11.0,4043,35.0
12.0,4055,34.2
9.0,4064,31.5
14.0,4078,29.1
20.0,4098,28.9
13.0,4111,26.3
16.0,4127,25.8
39.0,4166,25.1
75.0,4241,26.7
34.0,4275,24.3
46.0,4321,27.8
27.0,4348,29.3
76.0,4424,36.0
24.0,4448,37.0
15.0,4463,36.5
69.0,4532,42.1
10.0,4542,41.5
14.0,4556,39.0
12.0,4568,32.7
