Episode_Return,env_step,Episode_Return_smooth
13.0,13,13.0
41.0,54,27.0
40.0,94,31.333333333333332
12.0,106,26.5
30.0,136,27.2
11.0,147,24.5
24.0,171,24.428571428571427
33.0,204,25.5
10.0,214,23.77777777777778
17.0,231,23.1
17.0,248,23.5
19.0,267,21.3
11.0,278,18.4
47.0,325,21.9
22.0,347,21.1
15.0,362,21.5
18.0,380,20.9
10.0,390,18.6
22.0,412,19.8
14.0,426,19.5
18.0,444,19.6
16.0,460,19.3
14.0,474,19.6
16.0,490,16.5
46.0,536,18.9
15.0,551,18.9
17.0,568,18.8
15.0,583,19.3
15.0,598,18.6
16.0,614,18.8
16.0,630,18.6
16.0,646,18.6
11.0,657,18.3
34.0,691,20.1
17.0,708,17.2
33.0,741,19.0
10.0,751,18.3
25.0,776,19.3
22.0,798,20.0
27.0,825,21.1
29.0,854,22.4
12.0,866,22.0
14.0,880,22.3
9.0,889,19.8
14.0,903,19.5
37.0,940,19.9
9.0,949,19.8
15.0,964,18.8
15.0,979,18.1
26.0,1005,18.0
58.0,1063,20.9
15.0,1078,21.2
11.0,1089,20.9
16.0,1105,21.6
10.0,1115,21.2
22.0,1137,19.7
13.0,1150,20.1
38.0,1188,22.4
28.0,1216,23.7
14.0,1230,22.5
15.0,1245,18.2
11.0,1256,17.8
19.0,1275,18.6
22.0,1297,19.2
13.0,1310,19.5
9.0,1319,18.2
27.0,1346,19.6
11.0,1357,16.9
28.0,1385,16.9
17.0,1402,17.2
16.0,1418,17.3
25.0,1443,18.7
13.0,1456,18.1
16.0,1472,17.5
16.0,1488,17.8
11.0,1499,18.0
14.0,1513,16.7
26.0,1539,18.2
16.0,1555,17.0
23.0,1578,17.6
37.0,1615,19.7
27.0,1642,19.9
19.0,1661,20.5
17.0,1678,20.6
18.0,1696,20.8
24.0,1720,22.1
11.0,1731,21.8
12.0,1743,20.4
8.0,1751,19.6
14.0,1765,18.7
12.0,1777,16.2
31.0,1808,16.6
10.0,1818,15.7
22.0,1840,16.2
12.0,1852,15.6
21.0,1873,15.3
22.0,1895,16.4
11.0,1906,16.3
24.0,1930,17.9
11.0,1941,17.6
9.0,1950,17.3
25.0,1975,16.7
18.0,1993,17.5
15.0,2008,16.8
13.0,2021,16.9
9.0,2030,15.7
10.0,2040,14.5
14.0,2054,14.8
11.0,2065,13.5
19.0,2084,14.3
16.0,2100,15.0
9.0,2109,13.4
20.0,2129,13.6
11.0,2140,13.2
20.0,2160,13.9
14.0,2174,14.4
12.0,2186,14.6
14.0,2200,14.6
10.0,2210,14.5
16.0,2226,14.2
10.0,2236,13.6
13.0,2249,14.0
32.0,2281,15.2
14.0,2295,15.5
9.0,2304,14.4
15.0,2319,14.5
14.0,2333,14.7
19.0,2352,15.2
